week_start_date,cotton_price_inr_per_kg,reporting_markets,reporting_states
2024-01-08,66.17213861386139,123,5
2024-01-15,66.4999154334038,121,5
2024-01-22,66.47623711340206,117,5
2024-01-29,65.31162705667276,123,5
2024-02-05,65.69421150278293,123,5
2024-02-12,66.54930210325048,122,5
2024-02-19,68.11854043392505,123,5
2024-02-26,70.52209109730849,115,5
2024-03-04,71.47343347639486,119,5
2024-03-11,73.16742603550296,121,5
2024-03-18,72.4813990825688,116,5
2024-03-25,71.15485849056604,74,5
2024-04-01,72.04636482939632,102,5
2024-04-08,70.69840182648402,74,5
2024-04-15,69.38473484848485,83,5
2024-04-22,70.19252148997134,91,5
2024-04-29,69.49502475247525,99,5
2024-05-06,69.6720489296636,92,5
2024-05-13,69.29385390428212,88,5
2024-05-20,69.96708556149733,87,5
2024-05-27,69.53899159663865,81,5
2024-06-03,68.709900990099,75,5
2024-06-10,68.6268725868726,66,5
2024-06-17,68.80765625,51,5
2024-06-24,69.8035807860262,56,5
2024-07-01,70.08467980295566,52,5
2024-07-08,70.89358974358974,53,5
2024-07-15,70.95695054945055,48,5
2024-07-22,70.79771929824561,43,5
2024-07-29,70.23445054945056,49,5
2024-08-05,70.83897142857143,47,6
2024-08-12,69.966,45,6
2024-08-19,71.24892307692308,43,6
2024-08-26,70.68303571428571,33,6
2024-09-02,71.16789808917198,45,6
2024-09-09,69.17931818181819,54,5
2024-09-16,69.4196261682243,72,6
2024-09-23,68.19989218328841,79,6
2024-09-30,67.03018518518519,88,6
2024-10-07,68.3628125,91,6
2024-10-14,69.08957089552239,116,6
2024-10-21,69.0103,135,6
2024-10-28,69.06926153846153,116,6
2024-11-04,70.55300786369594,175,6
2024-11-11,71.92029929577465,198,6
2024-11-18,71.58946703296704,191,6
2024-11-25,72.18384143920596,194,6
2024-12-02,72.43217961654894,195,6
2024-12-09,71.6354842219804,198,6
2024-12-16,70.89815776397515,197,6
2024-12-23,70.52762022194821,191,6
2024-12-30,70.7358660933661,186,6
2025-01-06,71.50892447795825,179,5
2025-01-13,71.28801556420233,178,5
2025-01-20,71.42192008879023,180,6
2025-01-27,71.06628385698808,182,6
2025-02-03,70.46157565415244,171,6
2025-02-10,70.2623313253012,167,6
2025-02-17,69.69193467336683,158,6
2025-02-24,69.50780945757997,159,6
2025-03-03,69.09997278911565,153,6
2025-03-10,68.65529865125241,133,6
2025-03-17,69.41167441860465,130,6
2025-03-24,70.54033898305084,115,6
2025-03-31,70.57115566037736,110,6
2025-04-07,70.42675324675325,111,6
2025-04-14,70.89849015317287,108,6
2025-04-21,71.2355114822547,104,6
2025-04-28,71.13210242587601,90,6
2025-05-05,70.92412790697675,83,6
2025-05-12,70.44517571884984,79,6
2025-05-19,69.94782334384858,74,6
2025-05-26,70.00653846153845,61,6
2025-06-02,70.26289237668162,60,6
2025-06-09,70.0522270742358,56,6
2025-06-16,70.87095477386934,53,6
2025-06-23,71.44617142857143,45,6
2025-06-30,72.06242236024845,40,6
2025-07-07,72.00934306569343,36,6
2025-07-14,72.72278145695364,35,5
2025-07-21,73.44510067114093,36,5
2025-07-28,72.71635714285713,33,5
2025-08-04,72.58276923076923,31,4
2025-08-11,70.99561224489796,28,4
2025-08-18,72.37390243902439,34,5
2025-08-25,72.45085271317829,36,5
2025-09-01,69.8775796178344,43,5
2025-09-08,67.90568181818182,40,5
2025-09-15,65.5267032967033,56,5
2025-09-22,64.32098885793872,72,5
2025-09-29,64.26093846153846,77,6
2025-10-06,66.27076666666667,91,6
2025-10-13,67.94400826446281,100,6
2025-10-20,69.45321212121212,50,6
2025-10-27,69.63313373253493,119,6
2025-11-03,69.18767248322148,140,6
2025-11-10,68.32646686303387,127,6
2025-11-17,68.12953759071118,145,6
2025-11-24,69.24632687747035,146,6
2025-12-01,69.68739218950064,155,6
2025-12-08,70.9815492159228,163,6
2025-12-15,71.6053657635468,163,6
2025-12-22,71.73513108108108,153,6
2025-12-29,72.40961817058096,161,6
2026-01-05,73.54065690672964,164,6
2026-01-12,75.34505124450952,153,6
2026-01-19,75.28024576043069,155,6
2026-01-26,75.51050014903129,152,6
2026-02-02,75.00533231382978,154,6
2026-02-09,74.62254728096676,145,6
2026-02-16,73.94569094890511,146,6
2026-02-23,74.01002209631727,149,6
2026-03-02,73.57643890214797,128,6
2026-03-09,73.67501478537362,146,6
2026-03-16,73.47805443786982,130,6
2026-03-23,73.31536533066132,140,6
2026-03-30,75.04824927536232,120,6
2026-04-06,76.85238202054795,130,6
2026-04-13,76.82983627819549,126,6
2026-04-20,77.70384836223506,122,6
2026-04-27,78.50796884875847,113,6
2026-05-04,81.53617639902676,94,6
2026-05-11,83.52843927576602,87,6
2026-05-18,83.41642100591716,81,6
2026-05-25,81.57734653846154,70,6
2026-06-01,80.05668859649123,54,6
2026-06-08,78.61291237113403,54,6
2026-06-15,81.106320625,42,6
2026-06-22,80.93448148148147,27,6
